"","id_num","Sex","Meat_g","Meat_inhouse_g","Meat_outhouse_g","Season_Wkdays_calib_weights_2rec"
"104",44352407,2,6.5,6.5,0,2991.772236
"105",44354028,2,144,144,0,780.4699417
"106",44725096,1,410.5,120.5,290,2261.817664
"107",45001865,2,0,0,0,4481.793854
"108",45701674,1,113.5,58.5,55,1018.939794
"109",45734937,2,65.625,0,65.625,1395.13095
"110",46094142,2,56.5,0,56.5,1535.670397
"111",46140395,1,288.5,0,288.5,1840.795872
"112",47339410,2,128,72.5,55.5,1140.79045
"113",47741536,1,141.9313817,71.9313817,70,2634.865185
"114",48488604,1,105.87559986,78.234999655,27.640600205,813.8446964
"115",49641310,2,82.416666746,82.416666746,0,1096.184436
"116",50645423,1,202.5,150,52.5,1010.603483
"117",51812246,2,35,35,0,723.4120618
"118",52669373,2,218.169021605,58,160.169021605,2837.140492
"119",53120056,2,35,0,35,653.3414178
"120",53381364,1,92.93315315,81.5,11.43315315,2314.116841
"121",54125554,2,63.490797045,32.52276993,30.968027115,2820.120516
"122",57725150,2,19.88056016,19.88056016,0,3189.67718
"123",59270559,1,133.5,97.5,36,1873.834947
"124",59468169,2,24,0,24,3172.57178
"125",59988372,2,0,0,0,2342.129816
"126",60262876,2,49,10.5,38.5,3657.928914
"127",61014694,2,90,0,90,2413.426895
"128",61610756,2,85,85,0,3710.437706
"129",62647397,1,131.98756789,131.98756789,0,941.0724817
"130",63516818,2,0,0,0,1121.83581
"131",63561362,2,78.5,78.5,0,753.7767144
"132",64171951,1,44.73684311,0,44.73684311,2738.386109
"133",64184960,1,131.5,49.5,82,3521.304511
"134",64416223,2,222.5,120.5,102,3741.778339
"135",64594040,2,124.92289829,124.92289829,0,606.2755268
"136",64595994,1,84.592559397,84.592559397,0,2259.490457
"137",64602336,1,156.25,156.25,0,2612.918373
"138",64954304,1,316.5,316.5,0,2173.160621
"139",65152902,1,177,177,0,1724.702683
"140",65580791,2,62.996533401,62.996533401,0,1684.273557
"141",65608581,1,28,0,28,2321.046823
"142",66653991,2,66,13.5,52.5,980.0279132
"143",66749522,2,100,91,9,1639.685637
"144",67344261,2,81.410434725,0,81.410434725,1023.925689
"145",67548538,2,0,0,0,2050.741912
"146",67654438,1,31.685569765,0,31.685569765,2697.781405
"147",69416635,1,0,0,0,1763.292198
"148",70540872,2,109.5,109.5,0,1104.262319
"149",70635331,1,17.5,17.5,0,757.6528316
"150",70850271,2,0,0,0,1479.631683
"151",71988161,2,128.5,85.5,43,2102.67503
"152",72141002,1,92.0095005035,45,47.0095005035,1186.551357
"153",73421336,2,116.5,79,37.5,1520.763995
"154",76063820,2,0,0,0,2254.798522
"155",76126871,2,59,59,0,709.0587616
"156",77435449,2,86.5,86.5,0,1783.121857
"157",77530627,1,371.22500038,244.60000038,126.625,4902.36341
"158",77882452,1,152.566293715,152.566293715,0,2562.867606
"159",77887040,1,117.057783125,0,117.057783125,1859.38568
"160",78165063,2,84.43415642,43,41.43415642,2701.220086
"161",79098002,2,34.5,34.5,0,1101.737483
"162",79407318,1,0,0,0,2382.547858
"163",80535718,2,141.002411371,62.820425516,78.181985855,9869.980374
"164",80553348,2,0,0,0,1853.854546
"165",81043384,2,56.25,0,56.25,3440.475039
"166",81775723,1,81.5,0,81.5,791.5703413
"167",81804807,1,235.25,235.25,0,1450.583269
"168",81889195,1,51.904338835,24.5,27.404338835,2128.551524
"169",83544790,2,90,51.5,38.5,1578.092734
"170",84280920,2,0,0,0,2494.774474
"171",84619772,1,110.38023567,19.655714035,90.724521635,4317.867071
"172",84686626,2,80.5,80.5,0,7254.729338
"173",85459458,2,47.69013214,0,47.69013214,614.4498267
"174",85789810,1,122.203217028,79,43.203217028,2814.033032
"175",86655011,1,111.375,43.875,67.5,1100.280204
"176",87346317,1,251.669988625,190,61.669988625,4725.359195
"177",87501888,1,38.5,38.5,0,1053.839095
"178",87786535,1,211,0,211,1132.040523
"179",89419308,1,82.34166718,82.34166718,0,3033.147318
"180",89512604,1,168.4597893,0,168.4597893,1136.891884
"181",92102325,2,43,43,0,1096.184436
"182",92350128,2,25.246053695,7.246053695,18,1218.110063
"183",92746453,2,11.5,11.5,0,2303.941499
"184",93187534,1,44.5,44.5,0,2357.60688
"185",93635533,2,130,130,0,1132.264687
"186",93813928,2,102.08704567,52.875,49.21204567,2083.462273
"187",94395665,2,145.5,127.5,18,3707.076174
"188",95066998,2,226.4285736,126.9285736,99.5,2994.706216
"189",95958416,1,55.5,0,55.5,2991.419178
"190",96737475,2,198.5,198.5,0,1573.600288
"191",97035139,2,229.12499235,56.25,172.87499235,1101.015154
"192",98251600,1,143.515348435,9,134.515348435,2226.634833
"193",99531805,2,55.0406456,55.0406456,0,2019.971158
"194",99532186,2,204,154,50,3159.174813
"195",99917265,1,129.1988139155,2.8238139155,126.375,2339.148403
"196",100218000,1,164.041666035,18.199998855,145.84166718,1713.267328
"197",100785092,2,0,0,0,971.1050307
"198",100941127,1,112.79361725,0,112.79361725,1740.840173
"199",101325088,2,0,0,0,1228.471014
"200",102296050,1,0,0,0,5948.53094
"201",102407060,2,90.56154877,0,90.56154877,1854.814223
"202",102696893,2,97.300551415,62,35.300551415,1308.243726
"203",102785587,2,318.625,40.625,278,2634.356697
"204",104186466,1,39.75,0,39.75,2935.416255
"205",104214810,1,208.443273545,208.443273545,0,761.9417874
"206",104386655,1,222.53890228,140.5683174,81.97058488,1792.684695
"207",104646514,1,146.002282576,82.269648986,63.73263359,2402.732303
"208",104705283,2,59.25,59.25,0,1780.868006
"209",104754513,1,70,70,0,2029.624171
"210",104793683,1,254.5,40,214.5,3943.105318
"211",105069355,1,172.150000095,172.150000095,0,1840.795872
"212",105149316,2,49.0437258485,28.2937258485,20.75,550.6361084
"213",105507155,1,95.2030134215,30.51930046,64.6837129615,1560.559444
"214",105771351,1,0,0,0,1361.56706
"215",105872494,2,0,0,0,2324.412256
"216",106683127,1,212.26604843,18,194.26604843,1961.553037
"217",106722364,2,42.5,42.5,0,2033.328388
"218",107495291,2,36.54386139,36.54386139,0,820.6087282
"219",107549053,1,349.482502,299.20500185,50.27750015,1117.300062
"220",107807407,1,74.375,74.375,0,965.7082643
"221",108275209,2,26.25,26.25,0,2970.028123
"222",108580406,2,2.45347476,0,2.45347476,1485.989146
"223",108600481,2,148,45,103,2443.987482
"224",109381835,1,200.35359001,40,160.35359001,1018.120319
